Galaxy,realization,Inc_nominal_deg,Inc_perturbed_deg,e_Inc_deg,vobs_factor,status,n_shells,n_points,rho0,a_kpc,chi2,chi2_red,bic,r_sh1,M_sh1,sigma_sh1,sigma_over_r1,r_sh2,M_sh2,sigma_sh2,sigma_over_r2
NGC1003,16,67.0,72.93102743054413,5.0,0.9629194257238557,ok,1,36,2092884.9942778936,22.828578432513996,31.211737156978767,1.0068302308702828,49.129331849259316,5.290818959493924,8492957082.076873,1.8272360488271608,0.34535977564462705,,,,
UGC08550,15,90.0,89.0,3.0,1.0001523280439077,ok,1,11,37794238.86685245,2.4725931249334674,0.8908833670435978,0.14848056117393296,12.880359731035451,0.809024916080164,306508133.65591234,0.27398964398836306,0.33866650895732636,,,,
NGC2683,16,80.0,75.49764307423114,5.0,1.0172190581096696,ok,0,11,131394773.47560821,3.786415744367389,6.20639327881968,0.6895992532021866,11.00218382441642,,,,,,,,
NGC2841,16,76.0,86.11805667178284,10.0,0.9725270298577501,ok,2,50,13427292.532084102,18.192194188606436,93.62706334138737,2.2292157938425565,124.92324738481254,8.035116452856652,49999999999.99703,2.0718697622752082,0.25785186492706214,3.8442630727893174,49999999999.99799,1.3514600863159003,0.3515524460024295
UGC08490,15,50.0,49.76626728279264,3.0,1.0034431535334276,ok,1,30,307671694.4209868,1.0980633602120111,1.0905184026536585,0.04362073610614634,18.096505310964435,6.601685620147613,4807085590.920971,2.640674248059045,0.39999999999999997,,,,
F571-V1,16,30.0,30.249405349787974,10.0,0.9925262542556594,ok,0,7,17272441.76422915,5.4475312900088015,0.1576016005103628,0.031520320102072556,4.049421898620989,,,,,,,,
NGC1090,16,64.0,68.23755709242637,3.0,0.9677677675833773,ok,1,21,5375900.732362122,15.621102895853113,9.201047911500025,0.5750654944687515,24.42366010011714,4.664763103791396,15735729814.779306,0.9879378251661448,0.2117873519371595,,,,
NGC0891,16,90.0,88.12668647967216,1.0,1.000534735672149,ok,1,14,2543384.9111545724,199.99999999884676,2.414091433922544,0.26823238154694934,15.609378081998837,8.754725294560261,37092098614.04988,1.6291685673705174,0.1860901984420687,,,,
NGC2903,16,66.0,63.37314441330578,3.0,1.0219266375959206,ok,1,30,13056851.53648337,11.86108980464646,20.336512089247066,0.8134604835698827,37.34249899755784,6.9376995101317975,29780904411.944267,2.6905999237951694,0.38782307014966916,,,,
NGC3198,16,73.0,71.3809534882798,3.0,1.0091197337943918,ok,2,40,3205421.820076059,20.14586572969268,14.54244687418749,0.4544514648183591,44.05348250709898,3.2252173880596637,5278366730.515428,0.986487122018511,0.30586686208212327,8.931426650650506,32889755821.299873,3.3848852470855864,0.3789859536985677
NGC3109,16,70.0,64.59336899359734,5.0,1.0403050530935403,ok,0,25,23318615.448013462,4.644757461730313,3.503328749374592,0.15231864127715616,9.941080399110993,,,,,,,,
NGC2998,16,58.0,59.00977860022181,2.0,0.9892597990737559,ok,1,13,12276335.2854061,13.87281409449516,6.5442926822568825,0.8180365852821103,19.369039469564566,2.1169358081205853,16460718145.644842,0.8467743232482341,0.39999999999999997,,,,
