null_type,realization,rho_per_T,p_per_T,rho_per_gal,p_per_gal,n_shellbearing,n_total,frac_T2,n_T2,frac_T3,n_T3,frac_T4,n_T4,frac_T5,n_T5,frac_T6,n_T6,frac_T7,n_T7,frac_T8,n_T8,frac_T9,n_T9
scramble,81,-0.4285714285714286,0.2894032248467901,-0.15092103140112528,0.13193846509110052,28,101,0.6666666666666666,9,0.2,10,0.29411764705882354,17,0.23076923076923078,13,0.25,16,0.14285714285714285,14,0.5,6,0.1875,16
scramble,82,-0.7142857142857144,0.046528232284167255,-0.2763785650418775,0.005146628072748626,33,101,0.8888888888888888,9,0.2,10,0.4117647058823529,17,0.3076923076923077,13,0.3125,16,0.21428571428571427,14,0.16666666666666666,6,0.1875,16
scramble,83,-0.30952380952380953,0.4556448907375822,-0.22974845343917508,0.02082118204873338,31,101,0.8888888888888888,9,0.0,10,0.4117647058823529,17,0.46153846153846156,13,0.125,16,0.21428571428571427,14,0.3333333333333333,6,0.1875,16
scramble,84,-0.17964393928698885,0.6703442772469386,-0.12788627235900157,0.20249204378302688,32,101,0.7777777777777778,9,0.1,10,0.35294117647058826,17,0.3076923076923077,13,0.25,16,0.21428571428571427,14,0.5,6,0.25,16
scramble,85,-0.4285714285714286,0.2894032248467901,-0.215471176255003,0.030464974787209227,35,101,0.8888888888888888,9,0.3,10,0.29411764705882354,17,0.3076923076923077,13,0.375,16,0.21428571428571427,14,0.5,6,0.1875,16
scramble,86,-0.09523809523809526,0.8225054302036114,-0.1429418239832991,0.1538682093290224,33,101,0.7777777777777778,9,0.2,10,0.35294117647058826,17,0.23076923076923078,13,0.3125,16,0.21428571428571427,14,0.5,6,0.25,16
scramble,87,-0.023809523809523815,0.9553740118158806,-0.0979754701471206,0.32969283379878866,33,101,0.7777777777777778,9,0.2,10,0.23529411764705882,17,0.3076923076923077,13,0.4375,16,0.07142857142857142,14,0.3333333333333333,6,0.375,16
scramble,88,-0.4047619047619048,0.3198886412288163,-0.22556292940587092,0.023330710200164084,33,101,0.8888888888888888,9,0.2,10,0.29411764705882354,17,0.38461538461538464,13,0.3125,16,0.21428571428571427,14,0.3333333333333333,6,0.1875,16
scramble,89,-0.19047619047619052,0.6514014957024814,-0.13562578740090078,0.17627492164759798,32,101,0.7777777777777778,9,0.1,10,0.35294117647058826,17,0.23076923076923078,13,0.375,16,0.21428571428571427,14,0.3333333333333333,6,0.25,16
scramble,90,-0.2380952380952381,0.5701563208157683,-0.14971905677150174,0.13508006821568713,30,101,0.7777777777777778,9,0.2,10,0.29411764705882354,17,0.23076923076923078,13,0.25,16,0.21428571428571427,14,0.16666666666666666,6,0.3125,16
scramble,91,-0.6190476190476191,0.10173303745426478,-0.21167088513127919,0.033592638131065555,33,101,0.8888888888888888,9,0.2,10,0.29411764705882354,17,0.23076923076923078,13,0.4375,16,0.2857142857142857,14,0.16666666666666666,6,0.1875,16
scramble,92,-0.07142857142857144,0.8665262706759088,-0.08104395283129476,0.4204331253876929,31,101,0.7777777777777778,9,0.0,10,0.29411764705882354,17,0.23076923076923078,13,0.3125,16,0.42857142857142855,14,0.3333333333333333,6,0.1875,16
scramble,93,-0.04761904761904763,0.9108491685195836,-0.08439756879023445,0.4013986102521741,32,101,0.7777777777777778,9,0.1,10,0.29411764705882354,17,0.23076923076923078,13,0.3125,16,0.2857142857142857,14,0.5,6,0.25,16
scramble,94,-0.5714285714285715,0.13895995716070672,-0.2275017121183695,0.0221378335909477,34,101,0.7777777777777778,9,0.3,10,0.29411764705882354,17,0.38461538461538464,13,0.375,16,0.2857142857142857,14,0.3333333333333333,6,0.125,16
scramble,95,-0.3333333333333334,0.4197530864197532,-0.2057312133510614,0.039020439302146555,34,101,1.0,9,0.0,10,0.35294117647058826,17,0.3076923076923077,13,0.4375,16,0.21428571428571427,14,0.3333333333333333,6,0.1875,16
scramble,96,0.2380952380952381,0.5701563208157683,-0.04359868282082837,0.6650777044146893,35,101,0.8888888888888888,9,0.1,10,0.23529411764705882,17,0.3076923076923077,13,0.3125,16,0.2857142857142857,14,0.5,6,0.375,16
scramble,97,-0.3571428571428572,0.38512064355625614,-0.2459170105571635,0.013180104402101779,28,101,0.8888888888888888,9,0.0,10,0.35294117647058826,17,0.3076923076923077,13,0.25,16,0.14285714285714285,14,0.3333333333333333,6,0.125,16
scramble,98,-0.5714285714285715,0.13895995716070672,-0.31252898835859744,0.001463207004073301,32,101,0.8888888888888888,9,0.3,10,0.35294117647058826,17,0.3076923076923077,13,0.3125,16,0.14285714285714285,14,0.3333333333333333,6,0.125,16
scramble,99,-0.3333333333333334,0.4197530864197532,-0.11896360048630422,0.236056629879235,31,101,0.6666666666666666,9,0.0,10,0.4117647058823529,17,0.3076923076923077,13,0.3125,16,0.2857142857142857,14,0.3333333333333333,6,0.1875,16
permute,0,0.19518001458970666,0.6432255386372303,0.11309398792087455,0.26014426795121404,91,101,1.0,9,0.8,10,0.7647058823529411,17,0.9230769230769231,13,1.0,16,0.8571428571428571,14,0.8333333333333334,6,1.0,16
permute,1,0.5149792926227014,0.19154931341586579,0.23740309476840152,0.01682750162197603,89,101,0.8888888888888888,9,0.6,10,0.8235294117647058,17,0.8461538461538461,13,1.0,16,0.9285714285714286,14,0.8333333333333334,6,1.0,16
permute,2,0.13173888881045848,0.7558326362593348,0.147459740047851,0.1411388546544235,88,101,1.0,9,0.6,10,0.7647058823529411,17,0.9230769230769231,13,0.9375,16,0.9285714285714286,14,0.8333333333333334,6,0.9375,16
permute,3,0.17078251276599332,0.6859547529411324,0.15557599353582233,0.12029579961791297,91,101,1.0,9,0.7,10,0.7647058823529411,17,0.9230769230769231,13,1.0,16,1.0,14,0.8333333333333334,6,0.9375,16
permute,4,-0.07185757571479554,0.8657301238340009,0.0654972932313807,0.5152106987806685,90,101,1.0,9,0.7,10,0.8235294117647058,17,0.9230769230769231,13,1.0,16,0.9285714285714286,14,0.6666666666666666,6,0.9375,16
