null_type,realization,Galaxy,T,n_pts,n_shells,chi2,bic
scramble,87,NGC0100,6,21,0,12.134932400333149,18.223977275779994
scramble,87,NGC0247,7,26,2,221.35465116435168,247.41942346852355
scramble,87,NGC0289,4,28,0,77.16017089741028,83.82457991776069
scramble,87,NGC0300,7,25,0,40.289427877657296,46.727179527393695
scramble,87,NGC0801,5,11,2,73.05261485733857,92.23577703972553
scramble,87,NGC0891,3,14,0,42.91751392312403,48.195628582354544
scramble,87,NGC1003,6,36,1,103.58022078727663,121.49781547955718
scramble,87,NGC1090,4,22,0,71.49415104291279,77.67623594962942
scramble,87,NGC2403,6,73,2,1576.2524911898274,1610.5761667190145
scramble,87,NGC2683,3,11,0,5.622845507078526,10.418636052675268
scramble,87,NGC2841,3,50,1,223.56585472561528,243.12596975275602
scramble,87,NGC2903,4,29,2,84.48449748674366,111.42286412663546
scramble,87,NGC2976,5,24,0,24.09277353032413,30.44888119102002
scramble,87,NGC2998,5,13,1,267.0205548330552,279.8453016203629
scramble,87,NGC3109,9,25,2,40.400025172894935,66.15103177184054
scramble,87,NGC3198,5,40,0,71.65854695146074,79.03630585968861
scramble,87,NGC3521,4,41,0,23.53187101997421,30.95901515338283
scramble,87,NGC3726,5,12,2,15.579862804627558,35.45911600293156
scramble,87,NGC3769,3,11,0,5.3027405087027715,10.098531054299514
scramble,87,NGC3877,5,11,0,4.956664387417786,9.752454933014526
scramble,87,NGC3893,5,10,0,1.8485052576658023,6.453675443653895
scramble,87,NGC3917,6,16,0,5.545918693269075,11.091096137748638
scramble,87,NGC3949,4,7,0,2.200803958617044,6.092624256727671
scramble,87,NGC3953,4,8,0,0.9250475386969903,5.083930622056662
scramble,87,NGC3972,4,10,0,5.197218423228108,9.8023886092162
scramble,87,NGC3992,4,9,0,5.248219499238452,9.642668653910892
scramble,87,NGC4010,7,12,0,12.49975105826654,17.46956435784254
scramble,87,NGC4013,3,36,0,81.913921898662,89.08095977557421
scramble,87,NGC4051,4,7,0,2.746087253917435,6.637907552028061
scramble,87,NGC4085,5,5,0,1.1945448156662664,4.413420640534467
scramble,87,NGC4088,4,9,0,2.0528086572217568,6.447257811894196
scramble,87,NGC4100,4,24,0,14.611492535792962,20.967600196488853
scramble,87,NGC4157,3,15,0,2.515201935421319,7.931302337625739
scramble,87,NGC4183,6,23,0,11.412270337887017,17.683258769745315
scramble,87,NGC4217,3,11,0,5.678660567984877,10.474451113581619
scramble,87,NGC4559,6,32,0,7.453121645027146,14.3845934506266
scramble,87,NGC5005,4,13,0,0.16156983916010847,5.291468554083182
scramble,87,NGC5033,5,20,0,26.85932848816851,32.850793035276496
scramble,87,NGC5055,4,22,1,120.98847829393637,136.44369056072796
scramble,87,NGC5371,4,19,1,265.28645100161674,280.00864589744896
scramble,87,NGC5585,7,24,0,514.8430511433129,521.1991588040088
scramble,87,NGC5907,5,19,1,216.43151124914806,231.15370614498025
scramble,87,NGC5985,3,33,0,83.7890022194435,90.78201734237646
scramble,87,NGC6015,6,44,2,1186.3158618334614,1216.5893789048075
scramble,87,NGC6195,3,20,1,12.795382921805464,27.774044289575418
scramble,87,NGC6503,6,31,2,103.34172153931671,130.81361917519789
scramble,87,NGC6674,3,15,1,413.91748537892795,427.457736384439
scramble,87,NGC6946,6,55,1,41.25306124482579,61.289727170988144
scramble,87,NGC7331,3,28,0,12.632986298909394,19.297395319259802
scramble,87,NGC7814,2,16,0,11.122003311118025,16.667180755597588
scramble,87,UGC00128,8,22,2,197.74517964111917,222.4735192679857
scramble,87,UGC01281,8,25,0,11.849759886953336,18.28751153668974
scramble,87,UGC02259,8,8,0,8.053438126038788,12.21232120939846
scramble,87,UGC02885,5,19,0,53.71948104298881,59.60835900132169
scramble,87,UGC02916,2,32,2,129.40474656271277,157.13063378511058
scramble,87,UGC02953,2,106,2,1518.2048100942193,1555.512322847116
scramble,87,UGC03205,2,46,1,801.0935138167494,820.2367207991948
scramble,87,UGC04278,7,25,0,13.588856944016236,20.026608593752638
scramble,87,UGC04325,9,8,0,1.3615588001735373,5.520441883533209
scramble,87,UGC04499,8,9,0,0.9345519644477875,5.3290011191202264
scramble,87,UGC05253,2,73,0,168.09931822992104,176.6802371122178
scramble,87,UGC05716,9,12,1,20.507834361344212,32.93236761028422
scramble,87,UGC05721,7,23,0,11.279734703604833,17.55072313546313
scramble,87,UGC05986,9,15,2,1.7182686145621517,23.382670223379833
scramble,87,UGC06399,9,9,0,0.27420557194844647,4.668654726620885
scramble,87,UGC06446,7,17,0,5.059038650268877,10.725465338381309
scramble,87,UGC06667,6,9,0,0.6814497303412458,5.075898885013685
scramble,87,UGC06787,2,55,2,1239.8219200766416,1271.8805855585015
scramble,87,UGC06818,9,8,1,3.905319889345191,14.302527597744369
scramble,87,UGC06917,9,11,0,1.4065131357739988,6.20230368137074
scramble,87,UGC06930,7,10,0,1.3548931100326387,5.9600632960207305
scramble,87,UGC06983,6,17,0,5.7236902669622305,11.390116955074664
scramble,87,UGC07125,9,13,0,3.3427479123881003,8.472646627311175
scramble,87,UGC07151,6,11,0,5.94982664574521,10.745617191341951
scramble,87,UGC07261,8,7,0,0.9541571665603035,4.84597746467093
scramble,87,UGC07399,8,10,1,2.6107361189049434,14.123661583875174
scramble,87,UGC07524,9,31,0,4.645654810428688,11.51362921939898
scramble,87,UGC07603,7,12,0,1.698450595478833,6.668263895054833
scramble,87,UGC08286,6,17,1,7.278453560473612,21.44452028075469
scramble,87,UGC08490,9,30,0,15.944735820328914,22.747130583653224
scramble,87,UGC08550,7,11,0,7.679328854926496,12.475119400523237
scramble,87,UGC08699,2,37,1,116.81941121959643,134.87400078281755
scramble,87,UGC09037,6,19,0,14.712807879893427,20.60168583822631
scramble,87,UGC09133,2,64,1,1696.88716994951,1717.6815853663084
scramble,87,UGC10310,9,7,0,0.28345078928067263,4.175271087391299
scramble,87,UGC11455,6,33,1,58.61941116686481,76.10194897419721
scramble,87,UGC11914,2,63,1,134.35706112456228,155.07273475651994
scramble,87,UGC12506,6,31,0,11.672732049599047,18.54070645856934
scramble,87,UGC12632,9,15,0,0.6822108695350834,6.098311271739504
scramble,87,UGCA442,9,8,0,2.5124183359708083,6.671301419330479
scramble,88,ESO079-G014,4,15,0,13.64071903547064,19.05681943767506
scramble,88,ESO116-G012,7,15,0,26.639549857278176,32.0556502594826
scramble,88,ESO563-G021,4,27,1,84.630079185513,101.10926351553465
scramble,88,F568-V1,7,15,0,1.4668029704788843,6.882903372683304
scramble,88,F571-8,5,9,1,6.7338887300569485,17.72001161673805
scramble,88,F571-V1,7,7,0,0.1301401381860538,4.0219604362966805
scramble,88,F574-1,7,14,0,0.6658653031118968,5.943979962342413
scramble,88,F583-1,9,25,0,4.589032177698667,11.026783827435068
scramble,88,IC2574,9,34,2,38.92280521573363,67.13368941266293
scramble,88,IC4202,4,29,1,44.4497028636221,61.286182013554466
scramble,88,NGC0024,5,29,1,12.237128279510536,29.073607429442905
scramble,88,NGC0055,9,21,0,11.597909334965498,17.686954210412345
scramble,88,NGC0100,6,21,0,3.666951028992267,9.755995904439112
scramble,88,NGC0247,7,26,2,57.24400254815613,83.30877485232799
scramble,88,NGC0289,4,28,0,106.87633730243203,113.54074632278244
scramble,88,NGC0300,7,25,0,37.33357706859514,43.77132871833154
scramble,88,NGC0801,5,11,1,27.567628856067756,39.55710522005961
scramble,88,NGC0891,3,14,1,40.707281158688794,53.902567806765084
scramble,88,NGC1003,6,36,2,89.76929128128776,118.43744278893664
scramble,88,NGC1090,4,22,0,73.26509251072822,79.44717741744486
scramble,88,NGC2403,6,73,2,1936.9370875054753,1971.2607630346624
scramble,88,NGC2683,3,11,0,6.097691651199524,10.893482196796265
scramble,88,NGC2841,3,50,1,365.85691921001035,385.4170342371511
scramble,88,NGC2903,4,29,2,116.82896209308338,143.76732873297516
scramble,88,NGC2976,5,24,0,11.902616816194909,18.2587244768908
scramble,88,NGC2998,5,13,1,262.22330594149315,275.0480527288008
scramble,88,NGC3109,9,25,2,36.151620099668406,61.902626698614014
scramble,88,NGC3198,5,40,0,88.20256828467046,95.58032719289834
scramble,88,NGC3521,4,41,0,22.140241870825673,29.567386004234287
scramble,88,NGC3726,5,12,0,34.18156832175186,39.151381621327864
scramble,88,NGC3769,3,11,0,6.075177904539153,10.870968450135894
scramble,88,NGC3877,5,11,0,6.081565037659643,10.877355583256385
scramble,88,NGC3893,5,10,0,2.332553051129871,6.937723237117963
scramble,88,NGC3917,6,16,0,4.610287602339555,10.155465046819117
scramble,88,NGC3949,4,7,0,1.8777371749819611,5.769557473092588
scramble,88,NGC3953,4,8,0,0.9043703216242363,5.063253404983907
scramble,88,NGC3972,4,10,0,14.011448492866267,18.61661867885436
scramble,88,NGC3992,4,9,0,6.416298899784128,10.810748054456568
scramble,88,NGC4010,7,12,0,29.555333747848753,34.52514704742475
scramble,88,NGC4013,3,36,0,58.52171285939155,65.68875073630377
scramble,88,NGC4051,4,7,0,3.0756448032140375,6.967465101324664
scramble,88,NGC4085,5,5,0,1.441236163380256,4.660111988248456
scramble,88,NGC4088,4,9,0,1.6540477696190985,6.048496924291538
scramble,88,NGC4100,4,24,0,11.975704322007061,18.331811982702952
scramble,88,NGC4157,3,15,0,4.082746687683824,9.498847089888244
scramble,88,NGC4183,6,23,0,12.409809861348554,18.680798293206855
scramble,88,NGC4217,3,11,0,4.236158170305444,9.031948715902185
scramble,88,NGC4559,6,32,0,8.236936102550835,15.16840790815029
scramble,88,NGC5005,4,13,0,0.2869937932978428,5.416892508220917
scramble,88,NGC5033,5,20,0,63.67284319898124,69.66430774608922
scramble,88,NGC5055,4,22,1,83.15164662250021,98.60685888929179
scramble,88,NGC5371,4,19,1,218.51251933170474,233.23471422753693
scramble,88,NGC5585,7,24,2,91.36978235586342,116.79421299864698
scramble,88,NGC5907,5,19,0,425.8475154450154,431.7363934033483
scramble,88,NGC5985,3,33,0,67.07648561391754,74.0695007368505
scramble,88,NGC6015,6,44,2,803.5772152275722,833.8507322989183
scramble,88,NGC6195,3,20,0,34.28141245376162,40.2728770008696
scramble,88,NGC6503,6,31,2,177.78730432241574,205.2592019582969
scramble,88,NGC6674,3,15,1,854.9577610643571,868.4980120698682
scramble,88,NGC6946,6,55,1,35.25372876512844,55.2903946912908
scramble,88,NGC7331,3,28,0,13.997272525538696,20.661681545889103
scramble,88,NGC7814,2,16,0,10.330286562141275,15.875464006620838
scramble,88,UGC00128,8,22,1,191.81753835029443,207.27275061708602
scramble,88,UGC01281,8,25,0,8.34256871003788,14.78032035977428
scramble,88,UGC02259,8,8,1,6.6692666033175385,17.066474311716718
scramble,88,UGC02885,5,19,1,19.17309775938292,33.89529265521512
scramble,88,UGC02916,2,32,2,190.41971634031756,218.14560356271537
scramble,88,UGC02953,2,106,2,2712.081244947865,2749.3887577007613
scramble,88,UGC03205,2,46,2,532.3913567832018,563.0204879551145
scramble,88,UGC04278,7,25,0,33.629760842446345,40.06751249218274
scramble,88,UGC04325,9,8,0,1.5379977119461394,5.696880795305811
scramble,88,UGC04499,8,9,0,1.0255235770867248,5.419972731759164
scramble,88,UGC05253,2,73,2,1922.7271179134234,1957.0507934426105
scramble,88,UGC05716,9,12,2,7.204090405775897,27.0833436040799
scramble,88,UGC05721,7,23,0,12.390342416320724,18.661330848179023
scramble,88,UGC05986,9,15,0,22.951144842687825,28.367245244892246
scramble,88,UGC06399,9,9,0,0.2025454991368099,4.596994653809249
scramble,88,UGC06446,7,17,0,8.827378638312284,14.493805326424717
scramble,88,UGC06667,6,9,0,1.8269575124526694,6.221406667125109
scramble,88,UGC06787,2,55,1,1377.2402480456346,1397.276913971797
scramble,88,UGC06818,9,8,0,10.120744075706114,14.279627159065786
scramble,88,UGC06917,9,11,0,3.1586899037942757,7.954480449391017
scramble,88,UGC06930,7,10,0,1.4028824764290007,6.008052662417093
scramble,88,UGC06983,6,17,0,4.001321480049303,9.667748168161737
scramble,88,UGC07125,9,13,0,3.8215799371573245,8.951478652080398
scramble,88,UGC07151,6,11,0,7.900381020597933,12.696171566194675
scramble,88,UGC07261,8,7,0,0.7696226990431784,4.661442997153805
scramble,88,UGC07399,8,10,0,9.855829310406827,14.460999496394919
